CustomerID,Recency,Frequency,Monetary,FirstPurchase,LastPurchase,Items,Country,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster,AOV,LifespanDays,ObservedDays,OrdersPerYear,CLV_1yr,Churned
18102,1,145,580987.04,2009-12-01 09:24:00,2011-12-09 11:50:00,181645,United Kingdom,5,5,5,555,Champions,0,4006.81,738,739,71.62,86090.32,0
14646,2,145,526751.52,2009-12-02 16:52:00,2011-12-08 12:12:00,367072,Netherlands,5,5,5,555,Champions,0,3632.77,735,737,71.81,78260.76,0
14156,10,145,304719.88,2009-12-01 12:30:00,2011-11-30 10:54:00,164314,EIRE,5,5,5,555,Champions,0,2101.52,728,739,71.62,45153.26,0
14911,1,375,279477.79,2009-12-01 11:41:00,2011-12-08 15:54:00,147949,EIRE,5,5,5,555,Champions,0,745.27,737,739,185.22,41411.67,0
17450,8,51,244784.25,2010-09-27 16:59:00,2011-12-01 13:29:00,83914,United Kingdom,5,5,5,555,Champions,0,4799.69,429,438,42.5,61196.05,0
13694,4,143,195640.69,2009-12-04 15:26:00,2011-12-06 09:32:00,188201,United Kingdom,5,5,5,555,Champions,0,1368.12,731,735,71.01,29145.06,0
17511,3,60,172132.87,2009-12-02 10:52:00,2011-12-07 10:12:00,117174,United Kingdom,5,5,5,555,Champions,0,2868.88,734,738,29.67,25535.9,0
16446,1,2,168472.5,2011-05-18 09:52:00,2011-12-09 09:15:00,80997,United Kingdom,5,2,5,525,New / Promising,0,84236.25,204,206,3.54,89458.9,0
16684,4,55,147142.77,2009-12-07 12:56:00,2011-12-05 14:06:00,104810,United Kingdom,5,5,5,555,Champions,0,2675.32,728,732,27.42,22007.18,0
12415,24,24,144033.37,2010-06-30 08:30:00,2011-11-15 14:22:00,91443,Australia,4,5,5,455,Champions,0,6001.39,503,528,16.59,29868.92,0
15061,4,127,126387.56999999999,2009-12-01 12:18:00,2011-12-06 12:06:00,74279,United Kingdom,5,5,5,555,Champions,0,995.18,734,739,62.73,18728.29,0
15311,1,207,114671.42,2009-12-01 11:21:00,2011-12-09 12:00:00,69908,United Kingdom,5,5,5,555,Champions,0,553.97,738,739,102.24,16991.37,0
13089,3,203,113416.91,2009-12-02 15:44:00,2011-12-07 09:02:00,58932,United Kingdom,5,5,5,555,Champions,0,558.7,734,737,100.54,16851.51,0
16029,39,106,109620.87,2009-12-08 11:23:00,2011-11-01 10:27:00,54449,United Kingdom,4,5,5,455,Champions,0,1034.16,692,732,52.86,16399.71,0
17949,1,116,107833.48,2009-12-02 11:07:00,2011-12-08 18:46:00,60440,United Kingdom,5,5,5,555,Champions,0,929.6,736,738,57.37,15999.35,0
12931,22,57,92347.34,2009-12-01 11:46:00,2011-11-18 12:39:00,62906,United Kingdom,4,5,5,455,Champions,0,1620.13,717,739,28.15,13682.0,0
14298,8,82,91194.49,2009-12-11 13:49:00,2011-12-01 13:12:00,100272,United Kingdom,5,5,5,555,Champions,0,1112.13,719,728,41.11,13715.9,0
15769,7,46,88612.52,2009-12-11 09:58:00,2011-12-02 13:52:00,49068,United Kingdom,5,5,5,555,Champions,0,1926.36,721,729,23.03,13309.22,0
12346,326,3,77352.96,2010-03-02 13:08:00,2011-01-18 10:01:00,74239,United Kingdom,2,3,5,235,At Risk,1,25784.32,321,647,1.69,13072.65,1
13798,1,110,75428.87,2009-12-08 16:21:00,2011-12-08 15:51:00,48187,United Kingdom,5,5,5,555,Champions,0,685.72,729,731,54.92,11297.92,0
15838,11,34,73205.5,2009-12-15 09:51:00,2011-11-28 14:00:00,64114,United Kingdom,5,5,5,555,Champions,0,2153.1,713,725,17.12,11058.32,0
17841,2,211,68519.95,2009-12-02 15:41:00,2011-12-08 12:07:00,36565,United Kingdom,5,5,5,555,Champions,0,324.74,735,737,104.5,10180.6,0
16754,372,29,65500.07,2010-03-08 11:32:00,2010-12-02 17:38:00,63551,United Kingdom,2,5,5,255,Can't Lose Them,0,2258.62,269,642,16.49,11173.39,1
14088,10,16,64036.8,2010-10-14 19:46:00,2011-11-29 16:16:00,15276,United Kingdom,5,5,5,555,Champions,0,4002.3,410,421,13.87,16653.57,0
16422,17,107,61656.42,2010-01-12 11:57:00,2011-11-22 14:00:00,64032,United Kingdom,5,5,5,555,Champions,0,576.23,679,697,56.03,9685.85,0
17389,1,61,57215.33,2009-12-04 12:06:00,2011-12-09 09:38:00,17880,United Kingdom,5,5,5,555,Champions,0,937.96,734,736,30.25,8511.99,0
13081,12,28,56838.37,2009-12-08 13:58:00,2011-11-28 10:54:00,40077,United Kingdom,5,5,5,555,Champions,0,2029.94,719,731,13.98,8513.57,0
16013,4,84,56078.44,2009-12-08 10:24:00,2011-12-06 10:36:00,25520,United Kingdom,5,5,5,555,Champions,0,667.6,728,732,41.89,8389.73,0
14680,25,58,55688.5,2009-12-04 12:36:00,2011-11-14 16:59:00,26894,United Kingdom,4,5,5,455,Champions,0,960.15,710,736,28.76,8284.17,0
13093,276,55,54144.25,2009-12-04 10:32:00,2011-03-09 12:14:00,25971,United Kingdom,2,5,5,255,Can't Lose Them,0,984.44,460,736,27.28,8056.66,1
14096,4,17,53258.43,2011-08-30 10:49:00,2011-12-05 17:17:00,16336,United Kingdom,5,5,5,555,Champions,0,3132.85,97,102,60.83,57171.38,0
17850,372,155,51208.87,2009-12-05 12:28:00,2010-12-02 15:27:00,21052,United Kingdom,2,5,5,255,Can't Lose Them,0,330.38,362,735,76.97,7628.8,1
13408,2,106,50174.78,2009-12-04 09:31:00,2011-12-08 09:05:00,28673,United Kingdom,5,5,5,555,Champions,0,473.35,733,736,52.57,7465.2,0
13777,1,61,49638.26,2009-12-02 09:47:00,2011-12-09 12:25:00,23190,United Kingdom,5,5,5,555,Champions,0,813.74,737,738,30.17,7365.16,0
12748,1,322,49176.74,2009-12-04 17:31:00,2011-12-09 12:20:00,36853,United Kingdom,5,5,5,555,Champions,0,152.72,734,735,159.9,7325.98,0
17404,4,21,47638.12,2010-01-07 11:31:00,2011-12-05 16:26:00,50674,Sweden,5,5,5,555,Champions,0,2268.48,697,702,10.92,7431.54,0
13881,4,43,45179.1,2010-03-04 14:41:00,2011-12-06 12:50:00,29760,United Kingdom,5,5,5,555,Champions,0,1050.68,641,645,24.33,7668.91,0
15749,235,3,44534.3,2011-01-11 12:55:00,2011-04-18 13:20:00,18028,United Kingdom,2,3,5,235,At Risk,1,14844.77,97,332,3.3,14696.32,1
16705,1,42,43515.05,2009-12-09 13:34:00,2011-12-09 12:08:00,22301,United Kingdom,5,5,5,555,Champions,0,1036.07,729,730,21.0,6527.24,0
15098,182,3,39916.5,2011-06-10 15:22:00,2011-06-10 15:33:00,121,United Kingdom,3,3,5,335,Loyal,1,13305.5,0,182,6.02,24029.73,1
15039,10,93,39141.48,2009-12-10 11:39:00,2011-11-30 11:31:00,17780,United Kingdom,5,5,5,555,Champions,0,420.88,719,730,46.5,5871.28,0
14031,7,44,39019.51,2009-12-03 15:35:00,2011-12-02 17:13:00,13783,United Kingdom,5,5,5,555,Champions,0,886.81,729,736,21.82,5805.06,0
17675,1,70,37642.48,2009-12-10 16:10:00,2011-12-08 18:03:00,16180,United Kingdom,5,5,5,555,Champions,0,537.75,728,729,35.05,5654.44,0
17381,9,38,36398.65,2010-06-09 12:55:00,2011-12-01 11:59:00,42879,United Kingdom,5,5,5,555,Champions,0,957.86,539,548,25.31,7273.03,0
12921,9,74,35233.24,2009-12-01 13:43:00,2011-11-30 16:22:00,21328,United Kingdom,5,5,5,555,Champions,0,476.12,729,738,36.6,5227.8,0
12471,2,71,35099.9,2009-12-07 10:41:00,2011-12-07 15:43:00,16612,Germany,5,5,5,555,Champions,0,494.36,730,733,35.35,5242.69,0
