Cohort,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009-12,100.0,35.02,33.33,42.480000000000004,37.85,35.96,37.64,34.38,33.75,36.17,42.17,49.63,37.64,28.18,24.4,30.28,26.290000000000003,30.28,28.389999999999997,25.869999999999997,25.45,31.34,30.39,40.589999999999996,19.66
2010-01,100.0,21.47,32.07,31.52,27.169999999999998,30.98,26.900000000000002,23.369999999999997,28.53,32.61,30.98,17.93,22.830000000000002,17.93,19.57,15.22,24.46,20.380000000000003,19.29,20.11,25.27,19.84,25.27,5.71,0.0
2010-02,100.0,23.47,22.67,29.330000000000002,24.529999999999998,19.73,19.2,28.799999999999997,25.6,27.73,11.469999999999999,12.53,15.2,17.599999999999998,12.27,20.0,16.0,16.27,14.399999999999999,22.93,22.93,16.53,5.87,0.0,0.0
2010-03,100.0,19.05,23.13,24.26,23.13,20.41,24.72,30.61,27.66,10.879999999999999,11.559999999999999,14.510000000000002,19.950000000000003,16.33,19.950000000000003,17.01,17.46,15.65,17.69,20.41,21.32,7.71,0.0,0.0,0.0
2010-04,100.0,19.05,19.05,15.989999999999998,18.37,22.11,27.55,26.529999999999998,10.54,10.879999999999999,7.48,13.950000000000001,14.29,15.65,15.65,15.65,13.950000000000001,14.97,18.029999999999998,22.79,5.779999999999999,0.0,0.0,0.0,0.0
2010-05,100.0,15.690000000000001,16.86,17.65,17.65,25.490000000000002,21.18,12.55,5.88,8.24,11.37,13.33,15.290000000000001,15.290000000000001,9.8,12.55,13.73,16.470000000000002,15.290000000000001,4.71,0.0,0.0,0.0,0.0,0.0
2010-06,100.0,17.599999999999998,18.73,20.599999999999998,23.22,28.46,12.73,8.99,8.24,11.24,10.489999999999998,13.86,14.979999999999999,12.36,11.24,12.36,13.11,20.22,4.87,0.0,0.0,0.0,0.0,0.0,0.0
2010-07,100.0,15.590000000000002,18.279999999999998,29.57,29.03,13.98,11.29,14.52,14.52,11.29,13.44,14.52,12.9,13.44,19.35,17.2,23.66,8.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08,100.0,19.63,28.83,32.519999999999996,16.56,11.66,9.82,12.879999999999999,13.5,12.879999999999999,12.879999999999999,11.66,14.719999999999999,17.18,17.18,19.63,7.359999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09,100.0,23.01,23.43,12.97,8.790000000000001,10.459999999999999,13.81,9.62,12.97,12.97,12.13,10.040000000000001,22.59,16.74,16.74,5.4399999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10,100.0,25.869999999999997,14.67,12.53,8.799999999999999,8.27,13.07,13.87,10.67,9.33,10.67,12.8,19.2,23.200000000000003,6.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11,100.0,17.48,9.51,9.51,7.670000000000001,8.9,12.879999999999999,10.12,8.59,9.2,11.04,14.719999999999999,25.15,6.4399999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12,100.0,9.21,5.26,9.21,11.84,6.58,5.26,9.21,5.26,2.63,9.21,19.74,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01,100.0,16.669999999999998,22.220000000000002,19.439999999999998,22.220000000000002,15.28,15.28,12.5,11.110000000000001,20.830000000000002,25.0,11.110000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02,100.0,16.0,16.0,18.4,21.6,16.0,16.0,15.2,15.2,18.4,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03,100.0,17.88,21.790000000000003,20.11,22.35,15.079999999999998,20.669999999999998,20.11,24.02,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04,100.0,24.529999999999998,19.81,19.81,17.919999999999998,23.580000000000002,17.919999999999998,25.47,11.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05,100.0,23.419999999999998,24.32,16.220000000000002,21.62,20.72,26.13,11.709999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06,100.0,23.150000000000002,21.3,26.85,20.369999999999997,27.779999999999998,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07,100.0,20.79,29.7,27.72,34.65,15.840000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08,100.0,26.169999999999998,29.909999999999997,26.169999999999998,16.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09,100.0,27.13,37.769999999999996,14.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10,100.0,31.669999999999998,15.840000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11,100.0,14.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
